title,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19
Mad Max: Fury Road,4,4,,1,,,,,,5,,4,2,5,3,,5,5,4
Fast and Furious 7,,,,,,,,,1,,,3,2,,4,4,2,,
Fight Club,5,5,4,5,,,5,,5,4,4,4,5,4,5,5,4,4,3
The Dark Knight,5,4,3,2,,,3,,4,4,,4,3,3,2,3,5,5,3
Vanilla Sky,,3,,,,,,,,,5,,,,,,2,,
Star Wars Episode IV,3,3,5,,,,2,,3,,,4,,3,,,3,3,4
Rocky,5,3,4,4,,,,,3,,3,,4,4,4,4,3,3,
Pretty Woman,5,3,4,4,,,5,,4,2,2,,1,,3,4,3,,2
Django Unchained,3,,3,5,,,5,,5,5,,5,,3,3,,4,5,2
Almost Famous,5,,,,,,,,,,,,,4,,,4,4,
Back to the Future,5,5,4,,,,,,,5,3,,5,5,5,,3,5,4
Clueless,4,3,3,,,,4,,,,,,,,3,4,2,,4
The Big Lebowski,5,5,2,,,,,,3,,,,,4,,,5,4,4
My Big Fat Greek Wedding,,2,2,2,,,3,,,,3,,,,,,4,,
Saving Private Ryan,,,3,,,,,,,3,2,,5,,2,2,5,4,3
Kill Bill,3,5,2,,,2,4,,5,3,5,5,4,3,3,,5,5,1
Guardians of the Galaxy,2,3,4,,,,5,,4,5,,,,2,3,,4,4,3
Titanic,3,4,3,4,,,4,4,4,,2,,3,2,3,2,4,3,
Deadpool,5,3,5,,,,2,,,5,,,5,,4,4,4,4,2
Ten Things I Hate About You,5,4,5,,,,,,,5,,,,,4,4,2,3,
Bridget Jones's Diary,4,3,2,3,,,3,,1,,,,,,2,3,3,2,
Twilight,2,2,2,4,,,3,3,1,,,,,1,,,2,1,
Wonder Woman,1,1,,,,,,3,1,,,,,,3,5,4,4,
La La Land,2,5,4,,3,,,4,4,,,4,,,,,5,4,
The Matrix,4,3,4,4,5,,5,2,4,4,4,4,4,4,3,,5,5,3
Alter,34,30,26,25,26,27,25,21,27,24,39,23,35,42,37,28,29,30,47
Geschlecht,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
Koriander,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0